year,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100,Y101,Y102,Y103,Y104,Y105,Y106,Y107,Y108,Y109,Y110,Y111,Y112,Y113,Y114,Y115,Y116,Y117,Y118,Y119,Y120,Y121,Y122,Y123,Y124,Y125
1951,2617,235,128,91,66,61,57,46,43,40,38,39,40,46,49,55,64,74,84,87,93,99,110,111,116,126,134,135,138,146,148,156,164,173,174,186,199,207,221,235,248,271,289,311,342,370,402,443,483,533,575,633,683,742,821,881,961,1055,1154,1269,1380,1533,1696,1878,2079,2341,2606,2872,3183,3532,3922,4392,4910,5482,6110,6818,7606,8461,9396,10448,11058,12042,13219,14857,16470,17268,19095,20380,21986,23722,24735,26610,27818,29316,33554,33972,37334,37274,38473,42637,46903,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1952,2526,202,105,76,59,52,50,42,41,37,35,33,37,39,44,49,55,59,66,71,78,85,88,91,100,102,112,113,117,122,124,131,134,141,154,164,167,175,192,214,224,248,268,292,312,350,373,407,452,486,538,574,636,687,751,808,895,970,1065,1164,1263,1391,1569,1692,1865,2078,2297,2550,2838,3125,3466,3834,4350,4813,5374,5945,6600,7341,8202,9101,9485,10285,11871,12731,14744,15530,16649,17769,19350,21148,21810,23522,25751,26078,28866,29017,32127,35814,34666,39805,39382,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1953,2438,208,110,78,58,53,50,43,39,37,36,35,37,40,42,42,50,52,60,63,65,71,82,85,86,94,97,105,112,120,120,123,133,143,150,151,169,181,192,203,225,247,267,292,311,340,370,401,443,480,521,565,621,671,723,771,849,934,1032,1134,1239,1368,1512,1670,1832,2049,2263,2499,2799,3105,3402,3796,4231,4770,5338,5937,6697,7408,8236,9121,9747,10254,11820,12920,13937,15596,17315,17785,19279,20411,21818,22496,26560,27703,27457,31059,30504,33487,39116,37599,39227,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1954,2273,170,86,59,47,44,40,35,32,31,30,29,34,37,39,39,48,51,56,58,63,69,73,80,82,87,94,99,103,106,112,119,127,138,146,151,161,176,195,210,224,238,258,281,307,336,367,393,441,470,515,565,613,672,732,774,837,908,1011,1099,1248,1351,1501,1648,1829,2013,2219,2480,2747,3064,3395,3765,4185,4660,5190,5815,6445,7135,7936,8838,9460,10221,11442,12603,14336,14789,16449,17916,18673,20683,22407,22556,25161,27967,28098,30292,32682,30579,37040,39843,35321,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1955,2267,184,95,68,51,47,44,39,36,32,31,33,35,34,37,40,42,44,51,51,58,57,66,66,73,80,87,93,98,100,105,112,119,123,135,138,155,157,172,189,202,223,252,264,293,318,356,389,426,460,502,554,606,653,710,767,834,908,1001,1113,1218,1333,1487,1646,1815,2060,2258,2510,2798,3114,3430,3871,4301,4806,5332,5920,6605,7303,8188,9152,9823,10530,11883,12931,14927,15813,17234,19010,19689,21813,23315,23824,25905,27334,29139,32364,34303,38556,36393,39764,41261,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1956,2133,162,89,66,50,45,41,36,31,28,29,28,29,31,32,32,38,41,45,50,56,59,63,66,68,73,77,85,85,98,99,105,112,123,131,139,150,158,173,190,199,222,245,266,287,322,353,378,421,452,478,529,575,626,689,740,811,904,1000,1082,1209,1340,1472,1639,1829,1999,2218,2472,2741,3059,3402,3806,4262,4758,5293,5835,6588,7318,8149,9113,9715,10288,11607,13125,14512,15857,17703,18234,19886,21993,22651,24646,26283,27836,30277,30558,34887,35136,37433,37579,37756,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1957,2138,164,93,70,53,46,42,35,35,32,31,30,35,35,39,40,45,51,57,57,61,62,63,67,70,77,81,84,86,97,97,106,109,117,127,141,152,164,175,191,210,227,245,270,295,323,347,379,416,452,489,531,577,637,686,749,816,904,999,1080,1207,1334,1472,1616,1790,1953,2159,2396,2671,2975,3289,3687,4136,4633,5066,5597,6155,6858,7633,8463,9207,9764,11171,11833,13383,14447,15748,17059,18489,20787,21273,22780,23940,26959,28572,29613,30795,33677,33745,32382,37875,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1958,2059,151,84,61,48,41,37,32,31,28,25,25,25,29,30,30,36,41,46,50,54,59,63,66,68,70,71,76,81,86,91,99,105,116,123,131,138,153,166,180,199,226,239,264,285,310,346,375,407,442,482,532,578,625,675,734,805,868,971,1065,1194,1297,1435,1600,1757,1935,2148,2394,2679,2959,3302,3719,4137,4612,5125,5687,6348,7053,7900,8744,9462,9930,11427,12644,13870,15081,16656,18103,19045,20967,22139,23339,26020,26631,29641,31121,31581,37299,38122,37512,36171,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1959,2052,158,87,64,52,45,38,34,31,29,28,29,31,32,33,34,38,43,46,51,54,57,63,62,67,69,73,74,81,85,90,95,98,111,119,130,137,154,161,178,199,216,234,258,285,304,331,361,393,429,467,505,565,601,670,734,799,876,955,1059,1172,1292,1417,1556,1741,1916,2132,2347,2613,2950,3286,3668,4101,4567,5131,5677,6286,7004,7793,8696,9024,9868,11239,12347,13882,14885,16526,17250,19209,20587,21974,23912,25583,27410,27760,30132,34124,35861,34377,39566,36149,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1960,2035,150,83,64,49,45,42,36,35,29,27,26,28,29,32,32,38,41,45,47,48,50,52,56,60,64,67,71,72,80,82,90,96,101,110,122,136,146,160,174,189,208,228,254,273,303,333,353,392,431,467,507,553,601,656,702,775,847,927,1021,1142,1264,1391,1541,1707,1888,2103,2308,2574,2855,3195,3513,3918,4388,4917,5493,6146,6878,7656,8475,9037,9549,10885,12201,13603,14759,15866,17239,18649,19963,21881,22426,25192,26768,27204,28640,31909,30018,34700,35941,36357,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
