year,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100,Y101,Y102,Y103,Y104,Y105,Y106,Y107,Y108,Y109,Y110,Y111,Y112,Y113,Y114,Y115,Y116,Y117,Y118,Y119,Y120,Y121,Y122,Y123,Y124,Y125
1951,3389,268,160,113,92,89,81,68,63,59,56,57,55,60,66,72,82,88,104,126,129,144,143,146,149,153,161,163,166,167,175,179,182,194,206,215,231,242,265,288,301,342,381,415,467,520,580,662,739,826,939,1053,1177,1299,1436,1548,1702,1882,2068,2299,2523,2785,3071,3348,3653,3954,4354,4690,5106,5530,5933,6515,7128,7800,8491,9450,10341,11301,12321,13396,14042,14975,16673,18395,20312,20813,23838,25737,26513,28191,29592,30853,31893,37690,37685,35499,38586,40304,45096,56716,50653,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1952,3200,247,144,101,83,79,72,58,54,53,50,49,50,54,60,71,79,87,105,118,133,136,140,143,138,140,138,136,147,147,158,160,170,176,186,206,214,228,250,270,282,314,341,383,424,470,534,605,683,756,873,971,1086,1187,1323,1434,1626,1766,1949,2127,2319,2547,2775,3048,3330,3628,3940,4273,4701,5046,5384,5921,6453,7069,7687,8507,9334,10223,11131,12096,12617,13443,15582,16486,18564,19446,21412,22491,23424,26301,27299,28409,31894,32870,33115,38269,37862,39567,39958,42172,29008,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1953,3057,236,137,97,81,77,70,58,53,48,47,50,46,48,58,67,77,80,96,113,119,123,125,129,129,130,130,135,137,145,150,153,161,170,178,192,202,221,236,255,271,297,327,371,409,464,508,585,652,751,841,950,1060,1170,1305,1446,1580,1744,1924,2101,2342,2542,2803,3070,3331,3653,3989,4318,4669,5089,5500,5940,6525,7149,7774,8593,9361,10142,10982,12095,12710,13543,15396,16295,18167,19054,21062,21945,23606,25283,26008,26801,29527,29641,31998,33239,37261,42240,46012,47033,65194,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1954,2928,212,120,82,68,64,60,47,46,43,43,42,44,46,55,62,74,78,94,106,116,120,118,122,122,125,120,130,126,138,140,145,154,162,168,187,197,214,233,256,273,303,334,366,410,447,503,575,644,734,835,945,1059,1163,1303,1417,1580,1735,1910,2115,2319,2525,2776,3059,3332,3620,3917,4306,4663,5087,5479,5965,6491,7046,7730,8579,9316,10117,11047,12080,12407,13635,15152,16885,18366,18728,21030,23063,23968,25130,27078,29274,30236,34566,34303,38996,40419,37239,53575,53146,44713,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1955,2895,208,113,83,70,65,61,50,46,45,43,46,46,48,58,66,76,85,97,112,124,123,126,126,121,124,124,124,130,129,136,137,148,157,161,178,193,201,224,247,265,294,326,361,396,452,507,561,638,726,826,925,1045,1161,1311,1414,1562,1751,1893,2133,2313,2555,2811,3060,3367,3669,3992,4351,4696,5137,5574,6051,6599,7232,7981,8810,9597,10539,11409,12568,12999,13788,15565,16803,18741,20314,21756,23116,25041,27209,27510,29695,31688,32512,35683,37842,39393,38620,44095,57246,45897,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1956,2771,194,109,77,66,61,54,48,44,41,41,40,42,44,50,61,68,84,96,108,110,112,113,111,111,115,116,122,125,125,131,134,146,150,159,171,186,203,223,241,268,294,320,353,398,442,506,560,627,718,792,897,984,1121,1261,1427,1605,1769,1949,2149,2342,2579,2798,3088,3329,3669,3990,4342,4698,5120,5609,6132,6765,7323,7940,8680,9506,10388,11348,12357,12839,13772,15169,17196,18374,20222,21504,22841,24607,26933,27837,29599,32444,33249,33285,38653,38832,39009,35644,48366,41223,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1957,2713,196,116,84,67,65,62,50,48,46,44,43,48,49,55,63,79,92,108,116,120,122,121,119,116,115,117,121,124,128,128,133,141,147,156,176,188,207,219,244,268,295,327,363,397,445,501,573,630,709,796,894,1012,1154,1273,1443,1621,1798,2005,2192,2367,2587,2867,3088,3384,3672,4017,4391,4744,5137,5579,6041,6603,7142,7699,8266,9026,9816,10764,11698,12213,12920,14591,15829,17250,18336,20083,21599,22709,24788,26608,27680,29690,30194,33491,38539,33886,39039,34737,40126,41897,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1958,2626,185,107,79,66,65,58,50,48,44,41,41,40,42,50,58,73,89,100,110,115,112,114,110,110,115,112,114,117,120,127,128,140,145,154,168,186,200,215,248,270,291,321,356,398,440,488,547,623,694,775,880,989,1123,1265,1419,1590,1775,1948,2135,2351,2522,2789,3041,3344,3642,3971,4357,4736,5182,5619,6128,6718,7271,7915,8481,9151,9982,10981,12110,12719,13471,15310,16445,17689,18944,20669,23059,24033,24781,27396,28310,31425,33320,34278,35615,37753,37960,39442,44762,29828,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1959,2553,190,112,82,66,64,57,50,47,41,40,40,38,45,53,58,79,94,109,119,120,121,124,115,112,111,110,113,113,118,119,123,136,140,156,169,185,198,216,235,269,299,328,358,393,438,481,538,607,686,764,859,975,1104,1242,1411,1577,1761,1949,2133,2320,2576,2806,3066,3350,3651,3948,4301,4677,5157,5571,6101,6667,7194,7838,8364,9207,9910,10938,11955,12372,13305,14624,15811,17661,18852,20449,21776,24043,25205,25325,28039,28388,29857,33452,36580,39668,37800,43254,38226,32191,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1960,2603,186,106,76,67,66,61,54,50,46,40,40,39,43,51,60,75,90,105,115,125,124,124,117,115,112,114,111,115,118,117,129,132,140,154,170,186,204,218,233,259,286,312,348,392,432,482,542,605,679,764,858,962,1079,1216,1378,1542,1696,1906,2093,2301,2506,2763,3017,3292,3586,3900,4239,4625,5004,5494,5967,6513,7017,7662,8302,9011,9784,10719,11658,12009,12785,14474,15581,17482,18343,19406,21338,22345,23247,25667,25913,29263,29482,33328,32942,35480,44336,42555,41065,33976,50000,50000,50000,50000,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
